Timestamp,Disease,Split_Salt,K,Best_Features,Formula,Baseline_AUC_PR,Baseline_AUC_ROC
2026-05-26 01:30:25,t2d,,8,"mch,plt,neut_pct,lym_pct,eos_pct,hct,mchc,rdw",logit(p) = -11.0096 - (0.0732 * mch) + (0.0003 * plt) + (0.0384 * neut_pct) + (0.0321 * lym_pct) + (0.0612 * eos_pct) + (0.0054 * hct) + (0.2422 * mchc) + (0.0977 * rdw),0.1506,0.6205
2026-05-26 01:30:25,t2d,,9,"mch,plt,neut_pct,lym_pct,eos_pct,hct,mchc,rdw,mono_pct",logit(p) = -7.7027 - (0.0692 * mch) + (0.0004 * plt) + (0.0124 * neut_pct) + (0.0098 * lym_pct) + (0.0511 * eos_pct) + (0.0083 * hct) + (0.2229 * mchc) + (0.0980 * rdw) - (0.1011 * mono_pct),0.1548,0.6407
2026-05-26 01:30:25,t2d,,10,"mch,plt,neut_pct,lym_pct,eos_pct,hct,mchc,rdw,mono_pct,rbc",logit(p) = -7.7142 - (0.0969 * mch) + (0.0004 * plt) + (0.0126 * neut_pct) + (0.0100 * lym_pct) + (0.0514 * eos_pct) + (0.0336 * hct) + (0.2474 * mchc) + (0.0991 * rdw) - (0.1009 * mono_pct) - (0.2289 * rbc),0.1546,0.641
2026-05-26 01:30:25,t2d,,11,"mch,plt,neut_pct,lym_pct,eos_pct,hct,mchc,rdw,mono_pct,rbc,wbc",logit(p) = -7.5950 - (0.0973 * mch) + (0.0004 * plt) + (0.0118 * neut_pct) + (0.0092 * lym_pct) + (0.0500 * eos_pct) + (0.0336 * hct) + (0.2472 * mchc) + (0.0990 * rdw) - (0.1028 * mono_pct) - (0.2282 * rbc) - (0.0015 * wbc),0.1547,0.6415
2026-05-26 01:30:25,t2d,,12,"mch,plt,neut_pct,lym_pct,eos_pct,hct,mchc,rdw,mono_pct,rbc,wbc,baso_pct",logit(p) = -7.8220 - (0.0965 * mch) + (0.0004 * plt) + (0.0119 * neut_pct) + (0.0101 * lym_pct) + (0.0545 * eos_pct) + (0.0341 * hct) + (0.2506 * mchc) + (0.1019 * rdw) - (0.1010 * mono_pct) - (0.2204 * rbc) - (0.0015 * wbc) - (0.1281 * baso_pct),0.1547,0.6418
2026-05-26 01:30:25,t2d,,13,"mch,plt,neut_pct,lym_pct,eos_pct,hct,mchc,rdw,mono_pct,rbc,wbc,baso_pct,mcv",logit(p) = -0.0474 + (0.1383 * mch) + (0.0004 * plt) + (0.0103 * neut_pct) + (0.0084 * lym_pct) + (0.0529 * eos_pct) + (0.0427 * hct) + (0.0318 * mchc) + (0.0950 * rdw) - (0.1035 * mono_pct) - (0.3072 * rbc) - (0.0017 * wbc) - (0.1256 * baso_pct) - (0.0801 * mcv),0.1537,0.642
2026-05-26 01:30:25,t2d,,14,"mch,plt,neut_pct,lym_pct,eos_pct,hct,mchc,rdw,mono_pct,rbc,wbc,baso_pct,mcv,hgb",logit(p) = -0.0778 + (0.0842 * mch) + (0.0004 * plt) + (0.0105 * neut_pct) + (0.0087 * lym_pct) + (0.0530 * eos_pct) + (0.0238 * hct) + (0.0465 * mchc) + (0.0978 * rdw) - (0.1029 * mono_pct) - (0.4506 * rbc) - (0.0017 * wbc) - (0.1255 * baso_pct) - (0.0682 * mcv) + (0.1066 * hgb),0.1532,0.6418
2026-05-26 01:33:52,lup,,1,plt,logit(p) = -0.3071 + (0.0013 * plt),0.0043,0.4945
2026-05-26 01:33:52,lup,,2,"mch,mcv",logit(p) = 1.8534 + (0.1015 * mch) - (0.0541 * mcv),0.0046,0.5773
2026-05-26 01:33:52,lup,,3,"mch,mcv,mono_pct",logit(p) = 2.1282 + (0.0965 * mch) - (0.0495 * mcv) - (0.0906 * mono_pct),0.0059,0.6552
2026-05-26 01:33:52,lup,,4,"mch,mcv,neut_pct,mono_pct",logit(p) = 2.0679 + (0.0974 * mch) - (0.0500 * mcv) + (0.0008 * neut_pct) - (0.0889 * mono_pct),0.0059,0.653
2026-05-26 01:33:52,lup,,5,"hct,mch,mcv,rdw,mono_pct",logit(p) = 3.0914 - (0.0382 * hct) + (0.1114 * mch) - (0.0552 * mcv) + (0.0216 * rdw) - (0.0864 * mono_pct),0.0071,0.6818
2026-05-26 01:33:52,lup,,6,"hct,mch,mcv,rdw,mono_pct,neut_pct",logit(p) = 3.0864 - (0.0382 * hct) + (0.1114 * mch) - (0.0553 * mcv) + (0.0216 * rdw) - (0.0862 * mono_pct) + (0.0001 * neut_pct),0.0071,0.6817
2026-05-26 01:33:52,lup,,7,"hct,mch,mcv,rdw,mono_pct,neut_pct,wbc",logit(p) = 3.1255 - (0.0366 * hct) + (0.0993 * mch) - (0.0517 * mcv) + (0.0275 * rdw) - (0.0924 * mono_pct) + (0.0030 * neut_pct) - (0.0315 * wbc),0.0074,0.6694
2026-05-26 01:33:52,lup,,8,"hct,mch,mcv,rdw,mono_pct,neut_pct,wbc,eos_pct",logit(p) = 3.1052 - (0.0367 * hct) + (0.0999 * mch) - (0.0520 * mcv) + (0.0276 * rdw) - (0.0923 * mono_pct) + (0.0033 * neut_pct) - (0.0316 * wbc) + (0.0044 * eos_pct),0.0074,0.6686
2026-05-26 01:33:52,lup,,9,"hct,mch,mcv,rdw,mono_pct,neut_pct,wbc,eos_pct,hgb",logit(p) = 3.2192 + (0.1707 * hct) + (0.2993 * mch) - (0.1171 * mcv) + (0.0145 * rdw) - (0.0921 * mono_pct) + (0.0038 * neut_pct) - (0.0295 * wbc) + (0.0072 * eos_pct) - (0.6328 * hgb),0.0114,0.684
