formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(log(abs(rdw)+1)) / (abs(log(abs(plt)+1))+1e-6),0.6093,0.0169,0.0163,0.4281,0.0314,0.0707,0.0187,0.0156,0.013,2
((hgb) + (rdw)) - (sqrt(abs(plt))),0.6213,0.0169,0.0162,0.4969,0.0314,0.0716,0.019,0.0166,0.0133,3
(((((((log(abs(wbc)+1)) / (abs(mcv)+1e-6)) / (abs(sqrt(abs(rbc)))+1e-6)) - (hgb)) * (sqrt(abs(mch)))) / (abs(sqrt(abs(mchc)))+1e-6)) + (plt)) / (abs((rdw**2))+1e-6),0.6094,0.0169,0.0166,0.4719,0.0321,0.0728,0.0186,0.0155,0.0127,8
(((((log(abs(wbc)+1)) - (sqrt(abs(plt)))) * (sqrt(abs(mchc)))) - (sqrt(abs(mch)))) / (abs(sqrt(abs(rbc)))+1e-6)) - (sqrt(abs(mcv))),0.6315,0.0169,0.0168,0.6031,0.0327,0.0757,0.0188,0.0169,0.0138,6
((((((wbc) / (abs((hgb**2))+1e-6)) + ((plt**2))) / (abs((rdw**2))+1e-6)) - (mcv)) * ((mchc**2))) - (sqrt(abs(rbc))),0.617,0.0169,0.0164,0.4156,0.0316,0.071,0.0192,0.0162,0.0131,7
(((((((sqrt(abs(hct))) * (wbc)) - (sqrt(abs(hgb)))) - (mcv)) - (plt)) - (mch)) + ((rdw**2))) - (mchc),0.6164,0.0169,0.0169,0.4625,0.0325,0.0736,0.0195,0.0162,0.0128,8
(((log(abs(hgb)+1)) + ((rdw**2))) + (sqrt(abs(mch)))) / (abs(sqrt(abs(plt)))+1e-6),0.5958,0.0169,0.0162,0.4156,0.0313,0.0702,0.017,0.0147,0.0125,4
((((((((log(abs(mch)+1)) + ((hgb**2))) / (abs(hct)+1e-6)) * ((wbc**2))) - (plt)) + (sqrt(abs(mcv)))) + (rdw)) - ((mchc**2))) + (sqrt(abs(rbc))),0.5955,0.0169,0.0142,0.5375,0.0276,0.064,0.0207,0.0148,0.0125,9
(mchc) * (sqrt(abs(plt))),0.6276,0.0169,0.0178,0.5188,0.0344,0.0783,0.0182,0.0175,0.0139,2
((((((((rdw) - (sqrt(abs(mch)))) / (abs(log(abs(hgb)+1))+1e-6)) * (sqrt(abs(hct)))) + (log(abs(mchc)+1))) * (rbc)) + (sqrt(abs(wbc)))) / (abs(mcv)+1e-6)) - (log(abs(plt)+1)),0.6265,0.0169,0.0181,0.4656,0.0349,0.0784,0.0176,0.0168,0.0134,9
